رمز الحساب (Account_Code),اسم الحساب بالعربية (Account_Name),نوع الحساب (Account_Type),الرصيد بالريال اليمني (Balance_YER)
101,الصندوق الرئيسي (خزينة الورشة),أصول متداولة,222600
102,حساب بنك اليمن والكويت / المحافظ الرقمية,أصول متداولة,450500
104,ذمم العملاء (مستحقات خارجيّة متفتحة),أصول متداولة,196100
105,مخزون الأقمشة والخامات ومستلزمات الخياطة,أصول متداولة,768500
106,الأصول الثابتة (ماكينات خياطة وتطريز),أصول ثابتة,1696000
201,ذمم الموردين ومحلات الأقمشة,التزامات متداولة,148400
202,عرابين وأمانات عملاء الفساتين,التزامات متداولة,275600
301,رأس المال المباشر لمؤسسة Little Princesses,حقوق ملكية,2650000
401,إيرادات تفصيل خياطة الفساتين والزي المدرسي,إيرادات النشاط,1001700
501,أجور ورواتب الخياطين والمطرزين,مصاريف تشغيلية,238500
502,إيجار ورشة الخياطة والمعمل,مصاريف تشغيلية,159000
503,مصاريف الكهرباء والماء والصيانة,مصاريف تشغيلية,47700
